entry,hashed_audio_file,pos,gloss_chinese,gloss_pinyin,category,note,cross_ref,root
lau24,1bb0826c3212be29.wav,動詞,編,bian1,Adjectives & Verbs,編（辮子）,,
laŋ213,,形容詞,黃,huang2,Adjectives & Verbs,,,
laŋ24,,名詞,斗笠、草帽,do3 li4; cao3 mao4,Material Culture,,,
lai44,83bcd55d48381fd6.wav,形容詞,辣,la4,Adjectives & Verbs,,kən,
lɛk33 kuŋ55 ɗe213,2e3d53a526a5519d.wav,名詞,男孩,nan2 hai2,Kinship,,,
li213,6e278d5fb2ec32f9.wav,名詞,梯子,ti1 zi,Material Culture,,,
li213,9dc6b44f295573b0.wav,動詞,流,liu2,Adjectives & Verbs,,,
li213 hɔn21,,,流汗,liu2 han4,,,,li213
li213 ŋuk21,,,流鼻涕,liu2 bi2 ti4,,,,li213
liam44,c66634d13b8ece1b.wav,形容詞,甜,tian2,Adjectives & Verbs,,,
liau21,,形容詞,多,duo1,Miscellaneous,,,
lim21,cae0ea6a6a06a9af.wav,動詞,舔,tian3,Adjectives & Verbs,,,
lok33,,數詞,六,liu4,Miscellaneous,,,
lok33 tɔp33,,數詞,六十.,,Miscellaneous,,,
lun24,0190e9944411b12f.wav,形容詞、動詞,熱hot; to heat up,re4; jia1 re4,Adjectives & Verbs,,,
lun24 tia21 lun24 sak55,8008f52b1a9784ef.wav,,熱飯熱菜,re4 fan4 re4 cai4,,,,lun24
lɔ24,,形容詞,近,jin4,Adjectives & Verbs,,,
lɔi213,09cafb17027aa036.wav,形容詞,長（距離、時間）、遠,chang2; yuan3,Adjectives & Verbs,,,
lɔi44,61192882eee3f46b.wav,名詞,犁,li2,Material Culture,,,
lɔŋ213,a57e79ab1de1b257.wav,名詞,鼓,gu3,Material Culture,,,
lɛ213,,名詞,蹄,ti2,Fauna,馬或豬的,,
lɛi24,539d18cde4d3ee6e.wav,形容詞,乾淨,gan1 jing4,Adjectives & Verbs,,,
ɓaŋ24,30251d3ccdaaf0e8.wav,,乾淨（另一種說法）,gan1 jing4,,,,lɛi24
lɛk33,f27d3f2af865897e.wav,名詞,兒子,er2 zi,Kinship,,,
lɛk33,,名詞,甥、姪,sheng1; zhi2,Kinship,,,
lɛk33 kɛi213,,名詞,小雞,xiao3 ji1,Fauna,,,
lɛk33 kiŋ24,,名詞,小指,xiao3 zhi3,Body Parts,,,
lɛk33 lak55,,名詞,孩子,hai2 zi,Kinship,,,
lɛk33 mai21 lɛk33,,名詞,女孩,nü3 hai2,Kinship,,,
lɛŋ2,6a6923ca3fc1fcbe.wav,形容詞,冷,leng3,Adjectives & Verbs,也作 nit21,,
liʔ55 ɓa213,,名詞,魚鱗,yu2 lin2,Fauna,,,
liap55 zam21,,動詞,閃電,shan3 dian4,Nature,,,
luk55 niaŋ44,,名詞,繭,jian3,Fauna,,,
ma213,b5363cf7c52b97aa.wav,名詞,狗,gou3,Fauna,,,
mai21,4d850e74d6f33e97.wav,名詞,母親,mu3 qin1,Kinship,,,
mai21 kuan44,9163b661f43d6aaa.wav,名詞,竹子,zhu2 zi,Flora,mai21 kuan44（比較長）、mai21 nom213（比較短）,,
mai21 kɛi213,2b96d25bb3b9c461.wav,名詞,母雞（下過蛋）,mu3 ji1,Fauna,,,
mai21 lɛk33,a687d172745881fd.wav,名詞,女兒,nü3 er2,Kinship,,,
mai21 lɛk33,789a26454da5c892.wav,名詞,女人,nü3 ren2,Kinship,,,
mai21 mat55,6896e85278681ea1.wav,名詞,跳蚤,tiao4 cao3,Fauna,,,
mai21 muʔ33,631b5808c9852aaf.wav,名詞,螞蟻,ma3 yi3,Fauna,,,
mai21 nuŋ44,e1367c485d8fc08f.wav,名詞,蚊子,wen2 zi,Fauna,,,
mai21 tshian213,d62b836910db5a51.wav,名詞,小青蛙,xiao3 qing1 wa1,Fauna,[tshian]或[tshien],,
mai21 tɔn24,,名詞,蛆,qü1,Fauna,,,
mai21 van24,cb74a85f97cddef2.wav,名詞,大葉榕,da4 ye4 rong2,Flora,,mai21 zɔi,
mai21 za21,3e197c54aa0c47e0.wav,名詞,野波羅,ye3 po1 luo2,Flora,林投（pandanus）,,
